Date,Publication,Section,Page,Title,Author,External URL,CoE URL,Words,Language,Translation,Hide,Comment
05/29/25,Primavera,,,Entrevista a Chris Korda,Jaime,,https://www.churchofeuthanasia.org/press/primavera.html,796,Spanish,https://www.churchofeuthanasia.org/press/primavera_eng.html,,
02/17/25,Mixmag Spain,,,Chris Korda y Yoyaku relanzan el clásico 'The (Wo)Man Of The Future' en un vinilo doble,Fede Cortina,https://mixmag.es/read/chris-korda-y-yoyaku-relanzan-el-clasico-the-woman-of-the-future-en-un-vinilo-doble-news,https://www.churchofeuthanasia.org/press/mixmagspain_twmotf.html,351,Spanish,,,
09/26/24,A Cabine,,,Chris Korda está de volta ao país no início de outubro,Daniel Duque,https://acabine.pt/2024/09/chris-korda-esta-de-volta-ao-pais-no-inicio-de-outubro/,https://www.churchofeuthanasia.org/press/acabine.html,262,Portuguese,https://www.churchofeuthanasia.org/press/acabine_eng.html,,
08/29/24,Choices,,,Wir wollen Rituale kreieren,Christoph Zimmermann,https://www.choices.de/daniel-schuessler-save-the-planet-kill-yourself-tanzfaktur-technologiepark-studiobuehne,https://www.churchofeuthanasia.org/press/choices.html,1291,German,https://www.churchofeuthanasia.org/press/choices_eng.html,,
08/26/24,Mixmag Spain,,,Hablamos con Chris Korda sobre su nuevo álbum 'Avenging Angels Of Software',Fede Cortina,https://mixmag.es/read/hablamos-con-chriskorda-news,https://www.churchofeuthanasia.org/press/mixmagspain.html,1940,Spanish,https://www.churchofeuthanasia.org/press/mixmagspain_eng.html,,
07/03/24,Contemporary Art Library,,,Artist’s Con(tra)ception,,https://www.contemporaryartlibrary.org/project/chris-korda-at-kolnischer-kunstverein-cologne-33831,https://www.churchofeuthanasia.org/press/contemporaryartlibrary2.html,29,English,,,
06/27/24,Juno Daily,,,Chris Korda interview – “despite our hard-won wisdom we rampage like crazed beasts”,,https://www.juno.co.uk/junodaily/2024/06/27/chris-korda-interview-despite-our-hard-won-wisdom-we-rampage-like-crazed-beasts/,https://www.churchofeuthanasia.org/press/junodaily.html,1691,English,,,
06/18/24,KiVVON,Köln,,„Artist’s Con(tra)ception“: Kölnischer Kunstverein zeigt erste Ausstellung Chris Kordas in Deutschland,Jügen Schön,https://www.kivvon.com/de/koeln/artist-s-con-tra-ception-koelnischer-kunstverein-zeigt-erste-ausstellung-chris-kordas-in-deutschland,https://www.churchofeuthanasia.org/press/kivvon.html,667,German,https://www.churchofeuthanasia.org/press/kivvon_eng.html,,
06/10/24,Celebrity Café,,,Chris Korda - Alexandre Breton,Alexandre Breton,,https://www.churchofeuthanasia.org/press/celebritycafe.html,3078,French,https://www.churchofeuthanasia.org/press/celebritycafe-interview.html,,
05/31/24,Resident Advisor,,,"This week's new music: Chris Korda, Slim Soledad, Kamixlo",Michael Lawson,https://ra.co/news/80754,https://www.churchofeuthanasia.org/press/ra8.html,79,English,,,
05/29/24,Kölnische Rundschau,,,Golfender Donald Trump nebender Titanic,Jan Sting,,https://www.churchofeuthanasia.org/press/rundschau.html,564,German,https://www.churchofeuthanasia.org/press/rundschau_eng.html,,
